Logid,IdUsuario,FechaHoraAcceso,TipoAcceso,IdSensor
453106,832,2025-07-02 07:02:39,0,2
453107,617,2025-07-02 07:02:45,0,2
453108,808,2025-07-02 07:04:09,0,2
453109,822,2025-07-02 07:04:14,0,2
453110,312,2025-07-02 07:12:45,0,2
453111,837,2025-07-02 07:12:52,0,2
453112,565,2025-07-02 07:13:06,0,2
453114,464,2025-07-01 18:02:01,5,4
453115,775,2025-07-01 18:05:18,5,4
453116,812,2025-07-01 18:10:27,5,4
453117,621,2025-07-01 18:37:57,5,4
453118,599,2025-07-01 18:49:51,5,4
453119,816,2025-07-01 19:04:51,5,4
453120,816,2025-07-01 19:06:53,5,4
453121,589,2025-07-01 19:45:38,5,4
453122,835,2025-07-01 20:05:28,5,4
453123,828,2025-07-01 20:32:24,5,4
453124,624,2025-07-01 20:32:35,5,4
453125,611,2025-07-01 20:37:06,5,4
453126,793,2025-07-01 20:38:50,5,4
453127,579,2025-07-01 20:48:53,5,4
453128,841,2025-07-01 20:49:13,5,4
453129,528,2025-07-01 20:49:20,5,4
453130,827,2025-07-01 20:50:00,5,4
453131,784,2025-07-01 20:50:03,5,4
453132,827,2025-07-01 20:50:11,5,4
453133,640,2025-07-01 20:50:14,5,4
453134,812,2025-07-02 07:04:46,0,4
453135,610,2025-07-02 07:07:26,0,4
453136,619,2025-07-02 07:09:57,0,4
